 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =  207.129669       Ave. chord =    6.466558
     CLsurf  =   0.24010     Clsurf  =  -0.05102
     CYsurf  =  -0.02371     Cmsurf  =  -0.53910
     CDsurf  =   0.00349     Cnsurf  =   0.00906
     CDisurf =   0.00349     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.48095     CDsurf  =   0.00695
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   1.0200  11.9668  24.4950   4.2634   0.0445   0.4405   0.3581   0.0133   0.0000  -0.1729  -0.2223    0.735
     2   3.0600  10.8752  22.2606   4.1944   0.0446   0.4766   0.3875   0.0120   0.0000  -0.1779  -0.2328    0.711
     3   5.0999   9.7836  20.0262   4.0605   0.0401   0.5127   0.4169   0.0114   0.0000  -0.1811  -0.2417    0.686
     4   7.1399   8.6920  17.7919   3.8586   0.0294   0.5483   0.4458   0.0108   0.0000  -0.1825  -0.2489    0.661
     5   9.3486   7.8456  18.7065   3.6493   0.0188   0.6078   0.4670   0.0088   0.0000  -0.1754  -0.2473    0.628
     6  11.7260   7.2444  17.2730   3.5233   0.0245   0.6354   0.4881   0.0072   0.0000  -0.1696  -0.2468    0.599
     7  14.1034   6.6432  15.8394   3.3755   0.0255   0.6636   0.5098   0.0058   0.0000  -0.1666  -0.2489    0.578
     8  16.4808   6.0419  14.4059   3.2005   0.0252   0.6917   0.5314   0.0044   0.0000  -0.1651  -0.2521    0.562
     9  18.8582   5.4407  12.9723   2.9985   0.0243   0.7195   0.5527   0.0029   0.0000  -0.1642  -0.2559    0.549
    10  21.2356   4.8395  11.5388   2.7697   0.0234   0.7470   0.5739   0.0014   0.0000  -0.1637  -0.2598    0.537
    11  23.6130   4.2382  10.1053   2.5132   0.0229   0.7738   0.5945  -0.0003   0.0000  -0.1631  -0.2637    0.526
    12  25.9904   3.6370   8.6718   2.2245   0.0238   0.7980   0.6131  -0.0020   0.0000  -0.1622  -0.2668    0.516
    13  28.3678   3.0358   7.2382   1.8874   0.0287   0.8110   0.6231  -0.0036   0.0000  -0.1596  -0.2668    0.507
    14  30.7452   2.4345   5.8047   1.4277   0.0504   0.7650   0.5877  -0.0037   0.0000  -0.1484  -0.2498    0.504

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =  207.129669       Ave. chord =    6.466558
     CLsurf  =   0.24010     Clsurf  =   0.05102
     CYsurf  =   0.02371     Cmsurf  =  -0.53910
     CDsurf  =   0.00349     Cnsurf  =  -0.00906
     CDisurf =   0.00349     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.48095     CDsurf  =   0.00695
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -1.0200  11.9668  24.4950   4.2634   0.0445   0.4405   0.3581   0.0133   0.0000  -0.1729   0.2223    0.735
    16  -3.0600  10.8752  22.2606   4.1944   0.0446   0.4766   0.3875   0.0120   0.0000  -0.1779   0.2328    0.711
    17  -5.0999   9.7836  20.0262   4.0605   0.0401   0.5127   0.4169   0.0114   0.0000  -0.1811   0.2417    0.686
    18  -7.1399   8.6920  17.7919   3.8586   0.0294   0.5483   0.4458   0.0108   0.0000  -0.1825   0.2489    0.661
    19  -9.3486   7.8456  18.7065   3.6493   0.0188   0.6078   0.4670   0.0088   0.0000  -0.1754   0.2473    0.628
    20 -11.7260   7.2444  17.2730   3.5233   0.0245   0.6354   0.4881   0.0072   0.0000  -0.1696   0.2468    0.599
    21 -14.1034   6.6432  15.8394   3.3755   0.0255   0.6636   0.5098   0.0058   0.0000  -0.1666   0.2489    0.578
    22 -16.4808   6.0419  14.4059   3.2005   0.0252   0.6917   0.5314   0.0044   0.0000  -0.1651   0.2521    0.562
    23 -18.8582   5.4407  12.9723   2.9985   0.0243   0.7195   0.5527   0.0029   0.0000  -0.1642   0.2559    0.549
    24 -21.2356   4.8395  11.5388   2.7697   0.0234   0.7470   0.5739   0.0014   0.0000  -0.1637   0.2598    0.537
    25 -23.6130   4.2382  10.1053   2.5132   0.0229   0.7738   0.5945  -0.0003   0.0000  -0.1631   0.2637    0.526
    26 -25.9904   3.6370   8.6718   2.2245   0.0238   0.7980   0.6131  -0.0020   0.0000  -0.1622   0.2668    0.516
    27 -28.3678   3.0358   7.2382   1.8874   0.0287   0.8110   0.6231  -0.0036   0.0000  -0.1596   0.2668    0.507
    28 -30.7452   2.4345   5.8047   1.4277   0.0504   0.7650   0.5877  -0.0037   0.0000  -0.1484   0.2498    0.504
 ---------------------------------------------------------------
